"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2023","177.16","176.41","178.19","175.33","24.92M","-1.29%"
"02/14/2023","179.48","177.16","181.51","175.88","23.97M","0.03%"
"02/13/2023","179.43","178.21","181.00","175.82","31.41M","3.03%"
"02/10/2023","174.15","176.35","178.89","173.35","33.43M","-2.12%"
"02/09/2023","177.92","186.13","186.65","177.27","36.92M","-3.00%"
"02/08/2023","183.43","190.00","190.83","182.92","35.96M","-4.27%"
"02/07/2023","191.62","185.57","193.78","184.40","45.70M","2.99%"
"02/06/2023","186.06","186.53","190.70","185.52","42.48M","-0.25%"
"02/03/2023","186.53","183.46","196.77","182.89","76.81M","-1.19%"
"02/02/2023","188.77","183.38","197.16","180.16","150.48M","23.28%"
"02/01/2023","153.12","148.03","153.58","147.06","47.55M","2.79%"
"01/31/2023","148.97","147.95","149.88","147.52","29.27M","1.30%"
"01/30/2023","147.06","149.40","151.12","146.95","28.04M","-3.08%"
"01/27/2023","151.74","148.24","153.19","147.39","35.77M","3.01%"
"01/26/2023","147.30","144.40","147.51","143.30","25.37M","4.10%"
"01/25/2023","141.50","141.22","143.17","140.31","26.62M","-1.15%"
"01/24/2023","143.14","141.69","145.00","141.36","21.74M","-0.09%"
"01/23/2023","143.27","139.29","143.76","138.66","26.90M","2.80%"
"01/20/2023","139.37","135.89","139.94","134.61","28.69M","2.37%"
"01/19/2023","136.15","132.49","137.45","132.14","28.46M","2.35%"
"01/18/2023","133.02","135.81","137.25","132.80","20.15M","-1.73%"
"01/17/2023","135.36","136.18","136.75","134.25","21.09M","-1.18%"
"01/13/2023","136.98","134.97","137.39","134.84","22.42M","0.20%"
"01/12/2023","136.71","133.44","137.68","131.76","30.70M","2.87%"
"01/11/2023","132.89","130.96","133.85","130.34","25.37M","-0.08%"
"01/10/2023","132.99","127.27","133.44","127.15","28.07M","2.72%"
"01/09/2023","129.47","131.16","132.95","129.28","26.47M","-0.42%"
"01/06/2023","130.02","128.97","130.33","126.04","27.58M","2.43%"
"01/05/2023","126.94","126.13","128.52","124.54","25.45M","-0.34%"
"01/04/2023","127.37","127.38","129.05","125.85","32.23M","2.11%"
"01/03/2023","124.74","122.82","126.37","122.28","35.38M","3.66%"
"12/30/2022","120.34","118.16","120.42","117.74","19.58M","0.07%"
"12/29/2022","120.26","116.40","121.03","115.77","22.30M","4.01%"
"12/28/2022","115.62","116.25","118.15","115.51","19.55M","-1.08%"
"12/27/2022","116.88","117.93","118.60","116.05","20.86M","-0.98%"
"12/23/2022","118.04","116.03","118.18","115.54","17.76M","0.79%"
"12/22/2022","117.12","117.20","118.62","114.38","23.00M","-2.20%"
"12/21/2022","119.76","116.70","120.34","115.62","20.36M","2.28%"
"12/20/2022","117.09","113.26","117.33","112.46","28.66M","2.28%"
"12/19/2022","114.48","116.83","117.80","114.33","29.46M","-4.14%"
"12/16/2022","119.43","120.23","123.31","118.82","67.06M","2.82%"
"12/15/2022","116.15","118.33","118.63","114.01","34.47M","-4.47%"
"12/14/2022","121.59","119.39","124.14","119.39","36.66M","1.20%"
"12/13/2022","120.15","122.13","123.30","118.64","44.27M","4.74%"
"12/12/2022","114.71","115.18","115.72","113.14","23.38M","-1.03%"
"12/09/2022","115.90","115.30","117.54","113.87","26.03M","0.49%"
"12/08/2022","115.33","116.39","117.34","114.59","29.51M","1.23%"
"12/07/2022","113.93","113.76","115.88","112.88","28.58M","-0.17%"
"12/06/2022","114.12","119.91","120.55","113.74","43.69M","-6.79%"
"12/05/2022","122.43","121.75","124.67","121.35","35.40M","-0.86%"
"12/02/2022","123.49","117.83","124.04","117.61","39.95M","2.53%"
"12/01/2022","120.44","119.20","121.20","118.40","36.49M","1.98%"
"11/30/2022","118.10","109.50","118.16","109.38","43.15M","7.89%"
"11/29/2022","109.46","109.54","110.94","108.54","23.90M","0.63%"
"11/28/2022","108.78","110.78","112.04","108.38","23.30M","-2.36%"
"11/25/2022","111.41","111.30","112.73","111.02","12.01M","-0.74%"
"11/23/2022","112.24","111.72","112.67","110.73","21.34M","0.72%"
"11/22/2022","111.44","109.86","111.62","108.32","29.03M","1.44%"
"11/21/2022","109.86","111.52","112.37","109.19","24.35M","-1.95%"
"11/18/2022","112.05","113.80","114.32","110.62","33.36M","0.54%"
"11/17/2022","111.45","110.41","112.33","109.80","35.09M","-1.57%"
"11/16/2022","113.23","114.50","116.07","112.66","32.44M","-3.29%"
"11/15/2022","117.08","116.07","118.74","114.41","50.55M","2.50%"
"11/14/2022","114.22","110.99","116.27","110.80","53.15M","1.06%"
"11/11/2022","113.02","109.23","114.90","108.81","59.04M","1.03%"
"11/10/2022","111.87","107.12","112.75","104.61","80.67M","10.25%"
"11/09/2022","101.47","101.72","104.90","100.74","107.68M","5.18%"
"11/08/2022","96.47","95.92","97.80","94.79","51.44M","-0.26%"
"11/07/2022","96.72","94.78","96.88","93.10","81.99M","6.53%"
"11/04/2022","90.79","90.35","91.39","88.09","55.64M","2.11%"
"11/03/2022","88.91","90.08","90.46","88.41","59.77M","-1.80%"
"11/02/2022","90.54","94.21","95.20","90.48","71.18M","-4.89%"
"11/01/2022","95.20","94.33","97.49","93.55","109.62M","2.19%"
"10/31/2022","93.16","98.22","99.32","92.60","120.76M","-6.09%"
"10/28/2022","99.20","99.58","100.85","97.51","94.78M","1.29%"
"10/27/2022","97.94","97.97","102.50","96.38","230.41M","-24.56%"
"10/26/2022","129.82","131.68","135.55","128.53","89.29M","-5.59%"
"10/25/2022","137.51","130.88","138.35","130.59","37.73M","6.01%"
"10/24/2022","129.72","127.25","133.48","124.57","63.43M","-0.22%"
"10/21/2022","130.01","126.31","130.12","125.44","46.15M","-1.16%"
"10/20/2022","131.53","132.93","136.77","131.31","26.36M","-1.28%"
"10/19/2022","133.23","132.89","137.00","132.22","30.69M","0.32%"
"10/18/2022","132.80","137.09","137.84","131.40","25.28M","-0.93%"
"10/17/2022","134.04","130.30","134.79","130.18","29.46M","5.74%"
"10/14/2022","126.76","131.00","131.79","126.52","23.56M","-2.71%"
"10/13/2022","130.29","123.53","131.14","122.53","34.33M","2.19%"
"10/12/2022","127.50","128.32","129.67","126.25","34.61M","-0.81%"
"10/11/2022","128.54","131.62","132.66","126.99","37.65M","-3.92%"
"10/10/2022","133.79","133.55","136.11","131.87","23.84M","0.25%"
"10/07/2022","133.45","136.76","138.29","132.44","33.21M","-4.04%"
"10/06/2022","139.07","137.71","141.45","136.60","36.23M","0.06%"
"10/05/2022","138.98","138.24","140.21","134.78","27.90M","-0.93%"
"10/04/2022","140.28","140.49","142.39","139.34","34.54M","1.20%"
"10/03/2022","138.61","137.14","139.62","136.10","27.72M","2.16%"
"09/30/2022","135.68","136.05","140.99","135.50","33.17M","-0.54%"
"09/29/2022","136.41","139.36","139.84","135.20","38.99M","-3.67%"
"09/28/2022","141.61","134.62","142.03","134.27","32.66M","5.36%"
"09/27/2022","134.40","137.92","139.42","134.12","30.55M","-1.44%"
"09/26/2022","136.37","140.12","142.24","136.19","30.50M","-2.88%"
"09/23/2022","140.41","141.42","142.62","138.89","31.71M","-1.69%"
"09/22/2022","142.82","141.55","144.58","140.87","34.42M","0.49%"
"09/21/2022","142.12","146.39","149.60","142.00","38.01M","-2.72%"
"09/20/2022","146.09","145.77","148.84","145.22","23.13M","-1.30%"
"09/19/2022","148.02","145.24","148.58","145.10","22.17M","1.18%"
"09/16/2022","146.29","148.05","148.58","144.29","39.98M","-2.18%"
"09/15/2022","149.55","149.80","154.20","148.70","34.39M","-1.27%"
"09/14/2022","151.47","153.33","153.54","149.05","42.82M","-1.08%"
"09/13/2022","153.13","161.54","161.63","152.67","44.23M","-9.37%"
"09/12/2022","168.96","167.39","171.39","167.28","23.22M","-0.11%"
"09/09/2022","169.15","163.25","169.54","163.02","22.07M","4.37%"
"09/08/2022","162.06","158.71","162.23","157.74","22.26M","1.04%"
"09/07/2022","160.39","157.76","160.96","156.81","16.78M","1.17%"
"09/06/2022","158.54","160.10","161.69","157.69","19.28M","-1.11%"
"09/02/2022","160.32","167.45","167.93","159.22","22.63M","-3.05%"
"09/01/2022","165.36","163.58","167.36","160.35","30.15M","1.49%"
"08/31/2022","162.93","167.07","167.84","162.14","40.75M","3.67%"
"08/30/2022","157.16","160.35","161.66","155.91","19.42M","-1.26%"
"08/29/2022","159.17","160.65","163.05","159.01","20.05M","-1.61%"
"08/26/2022","161.78","168.48","170.92","161.67","24.02M","-4.15%"
"08/25/2022","168.78","165.18","168.88","164.02","15.46M","3.38%"
"08/24/2022","163.26","160.60","165.46","159.77","20.80M","1.33%"
"08/23/2022","161.11","162.48","165.05","160.70","18.11M","-1.19%"
"08/22/2022","163.05","165.49","165.49","162.26","19.50M","-2.92%"
"08/19/2022","167.96","170.20","172.32","167.05","26.24M","-3.84%"
"08/18/2022","174.66","174.34","175.76","171.86","18.76M","-0.11%"
"08/17/2022","174.85","176.76","178.14","174.17","20.12M","-2.57%"
"08/16/2022","179.47","179.44","180.99","177.04","21.16M","-0.79%"
"08/15/2022","180.89","178.96","181.44","178.20","15.88M","0.22%"
"08/12/2022","180.50","180.81","181.46","178.91","21.16M","1.70%"
"08/11/2022","177.49","179.71","183.10","176.37","23.99M","-0.48%"
"08/10/2022","178.34","175.99","180.48","173.95","30.08M","5.82%"
"08/09/2022","168.53","168.95","169.53","166.60","18.66M","-1.01%"
"08/08/2022","170.25","168.00","177.51","167.13","27.22M","1.88%"
"08/05/2022","167.11","166.99","171.61","165.80","25.77M","-2.03%"
"08/04/2022","170.57","168.29","172.15","166.80","23.79M","1.05%"
"08/03/2022","168.80","162.69","169.54","161.57","31.72M","5.37%"
"08/02/2022","160.19","158.31","162.24","158.01","27.37M","0.16%"
"08/01/2022","159.93","157.25","165.19","155.23","40.60M","0.52%"
"07/29/2022","159.10","157.69","160.14","155.17","41.91M","-1.01%"
"07/28/2022","160.72","161.06","161.51","154.85","72.59M","-5.22%"
"07/27/2022","169.58","162.59","170.87","162.02","39.18M","6.55%"
"07/26/2022","159.15","165.94","166.00","157.95","26.57M","-4.50%"
"07/25/2022","166.65","169.00","170.57","164.80","26.17M","-1.55%"
"07/22/2022","169.27","173.07","175.60","168.41","41.93M","-7.59%"
"07/21/2022","183.17","180.63","183.85","178.87","26.09M","0.04%"
"07/20/2022","183.09","177.49","183.60","176.70","24.52M","4.16%"
"07/19/2022","175.78","170.37","176.49","169.51","25.76M","5.11%"
"07/18/2022","167.23","166.75","171.68","165.64","23.57M","1.54%"
"07/15/2022","164.70","160.54","164.98","159.82","22.49M","4.21%"
"07/14/2022","158.05","161.22","162.59","157.28","23.52M","-3.33%"
"07/13/2022","163.49","160.16","164.98","159.61","16.51M","0.13%"
"07/12/2022","163.27","164.80","165.91","162.10","16.58M","0.24%"
"07/11/2022","162.88","167.07","167.49","161.91","21.91M","-4.68%"
"07/08/2022","170.88","169.98","172.40","168.15","19.16M","-0.76%"
"07/07/2022","172.19","169.45","172.72","167.78","23.89M","1.43%"
"07/06/2022","169.77","168.20","171.59","165.46","23.04M","0.94%"
"07/05/2022","168.19","158.14","168.25","157.02","28.55M","5.10%"
"07/01/2022","160.03","160.31","160.62","155.00","31.42M","-0.76%"
"06/30/2022","161.25","162.15","165.23","158.49","34.98M","-1.64%"
"06/29/2022","163.94","163.57","166.33","160.32","28.53M","2.03%"
"06/28/2022","160.68","169.90","171.30","160.61","27.67M","-5.20%"
"06/27/2022","169.49","171.32","171.75","168.01","29.17M","-0.39%"
"06/24/2022","170.16","161.73","170.25","161.30","61.35M","7.19%"
"06/23/2022","158.75","156.27","159.75","154.25","40.34M","1.86%"
"06/22/2022","155.85","158.38","160.79","155.44","47.06M","-0.76%"
"06/21/2022","157.05","165.93","167.76","155.97","50.48M","-4.09%"
"06/17/2022","163.74","161.68","165.90","159.90","31.37M","1.78%"
"06/16/2022","160.87","163.72","165.08","159.61","26.63M","-5.01%"
"06/15/2022","169.35","167.20","172.16","163.98","29.81M","3.43%"
"06/14/2022","163.73","166.03","166.75","161.36","26.77M","-0.32%"
"06/13/2022","164.26","170.59","172.57","164.03","31.56M","-6.44%"
"06/10/2022","175.57","183.04","183.10","175.02","25.51M","-4.58%"
"06/09/2022","184.00","194.28","199.45","183.68","23.30M","-6.43%"
"06/08/2022","196.64","194.67","202.03","194.41","22.27M","0.51%"
"06/07/2022","195.65","191.93","196.53","191.49","18.76M","0.72%"
"06/06/2022","194.25","193.99","196.92","188.40","30.57M","1.82%"
"06/03/2022","190.78","195.98","196.61","189.78","19.46M","-4.06%"
"06/02/2022","198.86","188.45","200.93","187.73","31.49M","5.42%"
"06/01/2022","188.64","196.51","199.53","185.00","36.27M","-2.58%"
"05/31/2022","193.64","194.88","197.60","192.01","25.92M","-0.76%"
"05/27/2022","195.13","191.36","195.33","189.80","22.56M","1.83%"
"05/26/2022","191.63","182.88","192.83","182.26","23.06M","4.24%"
"05/25/2022","183.83","180.40","185.45","179.32","27.56M","1.41%"
"05/24/2022","181.28","180.55","183.68","176.11","50.24M","-7.62%"
"05/23/2022","196.23","195.19","196.99","191.24","22.76M","1.39%"
