"","date","price","open","high","low","vol","change_percent"
"1",2023-07-06,296.63,295.95,298.08,292.73,"21.70M",0.77
"2",2023-07-05,294.37,287.65,298.12,286.36,"33.54M",2.92
"3",2023-07-03,286.02,286.65,289.31,284.85,"8.63M",-0.33
"4",2023-06-30,286.98,284.76,289.05,284.42,"19.69M",1.94
"5",2023-06-29,281.53,284.5,286.57,280.69,"15.40M",-1.32
"6",2023-06-28,285.29,284.82,289.55,284.06,"16.58M",-0.61
"7",2023-06-27,287.05,282.01,289.35,280.65,"25.81M",3.08
"8",2023-06-26,278.47,288.7,289.79,277.6,"23.95M",-3.55
"9",2023-06-23,288.73,281.51,289.67,278.95,"51.09M",1.35
"10",2023-06-22,284.88,279.08,285.26,277.79,"17.27M",1.15
"11",2023-06-21,281.64,283.53,284,278.36,"19.92M",-0.95
"12",2023-06-20,284.33,278.73,284.8,276.22,"20.53M",1.19
"13",2023-06-16,281,284.75,287.85,280.13,"43.13M",-0.29
"14",2023-06-15,281.83,272.3,283.99,271.42,"25.85M",3.1
"15",2023-06-14,273.35,271.89,274.99,268.32,"19.18M",0.75
"16",2023-06-13,271.32,274.88,275.72,269.09,"16.09M",0.1
"17",2023-06-12,271.05,267.17,271.75,265.33,"15.38M",2.3
"18",2023-06-09,264.95,262.48,267.95,261.7,"16.95M",0.14
"19",2023-06-08,264.58,260.62,267.65,258.88,"20.90M",0.37
"20",2023-06-07,263.6,271.67,274.25,262.8,"26.16M",-2.77
"21",2023-06-06,271.12,270.14,276.57,269.69,"19.26M",-0.1
"22",2023-06-05,271.39,270.3,275.57,269.56,"20.57M",-0.45
"23",2023-06-02,272.61,272.66,275.35,271.12,"19.35M",0
"24",2023-06-01,272.61,265.9,274,265.89,"25.28M",2.98
"25",2023-05-31,264.72,260,265,258.45,"25.37M",0.84
"26",2023-05-30,262.52,265.25,268.65,261.29,"23.69M",0.18
"27",2023-05-26,262.04,252.93,262.31,252.71,"25.77M",3.7
"28",2023-05-25,252.69,253.4,255.62,249.17,"21.99M",1.4
"29",2023-05-24,249.21,245.28,249.59,244.95,"17.32M",1
"30",2023-05-23,246.74,246.81,251.61,246.65,"17.67M",-0.64
"31",2023-05-22,248.32,245.41,253.57,245.12,"27.49M",1.09
"32",2023-05-19,245.64,247.47,248.69,243.41,"21.73M",-0.49
"33",2023-05-18,246.85,241.3,247.09,241.19,"22.81M",1.8
"34",2023-05-17,242.49,238.45,243.84,238.14,"21.14M",1.53
"35",2023-05-16,238.82,235.79,239.63,235.52,"18.11M",-0.02
"36",2023-05-15,238.86,236.92,240.26,235.33,"20.65M",2.16
"37",2023-05-12,233.81,236.74,236.96,231.45,"16.14M",-0.84
"38",2023-05-11,235.79,233.05,238.21,232.3,"20.38M",1.16
"39",2023-05-10,233.08,236.17,236.75,230.72,"18.70M",-0.12
"40",2023-05-09,233.37,231.46,235.88,231.08,"16.83M",0.04
"41",2023-05-08,233.27,231.41,235.62,230.27,"14.95M",0.21
"42",2023-05-05,232.78,232.24,234.68,229.85,"26.91M",-0.32
"43",2023-05-04,233.52,236.06,238.2,232.93,"17.79M",-1.48
"44",2023-05-03,237.03,239.47,241.75,232.75,"33.95M",-0.92
"45",2023-05-02,239.24,243.18,244.92,238.99,"23.17M",-1.62
"46",2023-05-01,243.18,238.62,244,236.46,"29.14M",1.19
"47",2023-04-28,240.32,239.01,240.43,235.75,"39.18M",0.74
"48",2023-04-27,238.56,239.89,241.68,236.77,"70.79M",13.93
"49",2023-04-26,209.4,212.5,214.11,208.88,"35.22M",0.89
"50",2023-04-25,207.55,210.82,211.26,207.13,"18.61M",-2.46
"51",2023-04-24,212.79,213.68,213.92,210.71,"15.75M",-0.05
"52",2023-04-21,212.89,210.21,213.41,209.58,"17.67M",-0.08
"53",2023-04-20,213.07,213.48,216.75,212.77,"16.43M",-1.22
"54",2023-04-19,215.7,213.47,217.33,212.93,"15.90M",-1.01
